"album","song","words","overall_sentiment","neg_words","neg_sentiment","pos_words","pos_sentiment"
"evermore","dorothea",12,-0.5,7,-2.28571428571429,5,2
"evermore","coney island",34,-0.117647058823529,20,-1.6,14,2
"evermore","ivy",31,-0.935483870967742,20,-2.1,11,1.18181818181818
"evermore","cowboy like me",30,1.66666666666667,6,-1.5,24,2.45833333333333
"evermore","long story short",38,-0.131578947368421,17,-1.94117647058824,21,1.33333333333333
"evermore","marjorie",55,-0.690909090909091,29,-2.68965517241379,26,1.53846153846154
"evermore","closure",31,0.580645161290323,8,-2,23,1.47826086956522
"evermore","evermore",24,-1.45833333333333,18,-2.27777777777778,6,1
"evermore","right where you left me",30,-0.933333333333333,26,-1.38461538461538,4,2
"evermore","it's time to go",17,0.352941176470588,6,-2.33333333333333,11,1.81818181818182
"Midnights","Lavender Haze",32,-0.625,14,-3.14285714285714,18,1.33333333333333
"Midnights","Maroon",16,-1.5625,12,-2.58333333333333,4,1.5
"Midnights","Anti-Hero",36,-0.361111111111111,19,-2.05263157894737,17,1.52941176470588
"Midnights","Snow On The Beach",53,0.584905660377358,18,-2.11111111111111,35,1.97142857142857
"Midnights","You're On Your Own, Kid",21,1.19047619047619,5,-1.6,16,2.0625
"Midnights","Midnight Rain",33,1.18181818181818,7,-1.85714285714286,26,2
"Midnights","Question...?",35,0.685714285714286,14,-1.57142857142857,21,2.19047619047619
"Midnights","Vigilante Shit",22,-1.59090909090909,17,-2.64705882352941,5,2
"Midnights","Bejeweled",28,1.42857142857143,7,-2,21,2.57142857142857
"Midnights","Labyrinth",28,1.28571428571429,9,-1.66666666666667,19,2.68421052631579
"Midnights","Karma",34,0.294117647058824,11,-2.81818181818182,23,1.78260869565217
"Midnights","Sweet Nothing",11,1.09090909090909,3,-1.66666666666667,8,2.125
"Midnights","Mastermind",18,-0.166666666666667,10,-1.8,8,1.875
"Midnights","The Great War",51,0.117647058823529,25,-1.88,26,2.03846153846154
"Midnights","Bigger Than The Whole Sky",3,-0.666666666666667,2,-1.5,1,1
"Midnights","Paris",27,0.777777777777778,10,-1.4,17,2.05882352941176
"Midnights","High Infidelity",35,0.685714285714286,14,-1.85714285714286,21,2.38095238095238
"Midnights","Glitch",20,0.85,5,-1.2,15,1.53333333333333
"Midnights","Would've, Could've, Should've",48,-0.479166666666667,26,-2.19230769230769,22,1.54545454545455
"Midnights","Dear Reader",24,0.458333333333333,10,-1.4,14,1.78571428571429
"Midnights","Hits Different",40,-0.35,20,-2.65,20,1.95
"Midnights","You're On Your Own, Kid (Strings Remix)",21,1.19047619047619,5,-1.6,16,2.0625
"Midnights","Sweet Nothing (Piano Remix)",11,1.09090909090909,3,-1.66666666666667,8,2.125
"Midnights","Snow On The Beach (More Lana Del Rey)",52,0.884615384615385,15,-1.73333333333333,37,1.94594594594595
"Midnights","Karma (Remix)",48,-0.166666666666667,20,-2.95,28,1.82142857142857
"Midnights","You're Losing Me (From The Vault)",47,-1.5531914893617,43,-1.97674418604651,4,3
"THE TORTURED POETS DEPARTMENT","Fortnight",28,0,15,-2.33333333333333,13,2.69230769230769
"THE TORTURED POETS DEPARTMENT","The Tortured Poets Department",23,-0.304347826086957,11,-2.54545454545455,12,1.75
"THE TORTURED POETS DEPARTMENT","My Boy Only Breaks His Favorite Toys",18,-0.222222222222222,9,-2.33333333333333,9,1.88888888888889
"THE TORTURED POETS DEPARTMENT","Down Bad",55,-2.25454545454545,46,-3.17391304347826,9,2.44444444444444
"THE TORTURED POETS DEPARTMENT","So Long, London",33,-0.272727272727273,19,-1.94736842105263,14,2
"THE TORTURED POETS DEPARTMENT","But Daddy I Love Him",52,0.307692307692308,24,-1.79166666666667,28,2.10714285714286
"THE TORTURED POETS DEPARTMENT","Fresh Out The Slammer",20,0.75,4,-1.25,16,1.25
"THE TORTURED POETS DEPARTMENT","Florida!!!",39,-1.28205128205128,27,-2.66666666666667,12,1.83333333333333
"THE TORTURED POETS DEPARTMENT","Guilty As Sin?",27,-0.814814814814815,17,-2.29411764705882,10,1.7
"THE TORTURED POETS DEPARTMENT","Who's Afraid Of Little Old Me?",39,-1.35897435897436,32,-2.0625,7,1.85714285714286
"THE TORTURED POETS DEPARTMENT","I Can Fix Him (No Really I Can)",21,1.28571428571429,5,-1,16,2
"THE TORTURED POETS DEPARTMENT","loml",33,-0.393939393939394,18,-2.33333333333333,15,1.93333333333333
"THE TORTURED POETS DEPARTMENT","I Can Do It With A Broken Heart",43,0,23,-2.1304347826087,20,2.45
"THE TORTURED POETS DEPARTMENT","The Smallest Man Who Ever Lived",24,-0.166666666666667,12,-2.25,12,1.91666666666667
"THE TORTURED POETS DEPARTMENT","The Alchemy",24,0.625,11,-1.18181818181818,13,2.15384615384615
"THE TORTURED POETS DEPARTMENT","Clara Bow",29,-0.137931034482759,13,-2.38461538461538,16,1.6875
"THE TORTURED POETS DEPARTMENT","The Black Dog",27,-0.962962962962963,19,-2.31578947368421,8,2.25
"THE TORTURED POETS DEPARTMENT","imgonnagetyouback",24,0.5,10,-1.6,14,2
"THE TORTURED POETS DEPARTMENT","The Albatross",31,-1.80645161290323,26,-2.46153846153846,5,1.6
"THE TORTURED POETS DEPARTMENT","Chloe Or Sam Or Sophia Or Marcus",12,0.666666666666667,5,-1.8,7,2.42857142857143
"THE TORTURED POETS DEPARTMENT","How Did It End?",20,-0.15,11,-1.81818181818182,9,1.88888888888889
"THE TORTURED POETS DEPARTMENT","So High School",25,0.6,8,-2.5,17,2.05882352941176
"THE TORTURED POETS DEPARTMENT","I Hate It Here",45,-0.333333333333333,25,-2.48,20,2.35
"THE TORTURED POETS DEPARTMENT","thanK you aIMee",24,-0.916666666666667,16,-2.1875,8,1.625
"THE TORTURED POETS DEPARTMENT","I Look In People's Windows",7,0,4,-1.75,3,2.33333333333333
"THE TORTURED POETS DEPARTMENT","The Prophecy",29,0.758620689655172,7,-2.14285714285714,22,1.68181818181818
"THE TORTURED POETS DEPARTMENT","Cassandra",26,-2.07692307692308,23,-2.60869565217391,3,2
"THE TORTURED POETS DEPARTMENT","Peter",16,0.375,4,-3,12,1.5
"THE TORTURED POETS DEPARTMENT","The Bolter",47,0.638297872340426,16,-1.9375,31,1.96774193548387
"THE TORTURED POETS DEPARTMENT","Robin",12,-0.666666666666667,8,-1.75,4,1.5
"THE TORTURED POETS DEPARTMENT","The Manuscript",6,1,2,-1.5,4,2.25
