height,weight,dash40,vert_jump,bench_reps,broad_jump,cone_time,shuttle_time
77,294,5.06,31,29,105,7.81,4.59
72,295,4.95,31.5,27,101,7.45,4.3
76,263,4.75,38,,119,7.16,4.03
71,208,4.65,30,,113,7.52,4.18
78,281,4.86,35.5,23,107,7.67,4.37
72,228,4.8,,19,,,
78,299,4.95,,,,,
75,250,4.75,,,,,
71,222,4.71,32.5,18,115,,
79,348,5.43,31.5,19,99,7.81,4.66
75,287,5.28,29.5,,97,7.65,4.52
70,212,4.51,33.5,15,114,,
76,267,4.64,34,26,117,,
75,299,5.24,30,,100,8,4.8
74,293,5.33,30,21,98,,
69,184,4.41,38.5,,121,7.44,4.25
71,172,4.48,,,,,
74,245,4.75,35.5,33,110,7.3,4.15
75,232,4.62,33,,119,7.15,4.5
74,187,,,,,,
75,309,4.9,33,,110,7.75,4.72
76,251,4.92,28.5,17,106,7.46,4.3
77,256,4.96,35.5,,109,7.3,4.4
69,189,,,,,,
71,191,4.51,41,17,127,,
78,321,5.13,30,21,110,8.07,4.72
77,315,5.6,28,22,96,8.06,4.75
71,207,,,,,,
76,312,5.3,30.5,,96,,
77,338,5.32,30.5,28,98,8.36,4.8
69,192,4.48,,,,,
76,269,4.91,33,28,111,7.65,4.4
71,183,4.4,35.5,,115,6.81,3.93
75,213,4.43,,,,,
74,229,4.58,32.5,20,115,7.48,4.44
69,189,4.64,36,,118,7.42,4.24
77,336,5.52,25,19,92,8.6,4.9
70,221,4.46,40.5,18,124,6.84,4.21
72,281,4.72,,17,,,
78,260,4.78,33.5,,120,7.06,4.32
75,307,5.42,27,20,96,8.34,
73,223,4.71,35.5,,115,7.36,4.35
75,273,4.8,,,,,
75,299,5.32,33.5,18,98,7.9,4.53
78,303,5.28,34,,103,8.08,4.59
72,210,4.33,,,,,
77,328,5.61,32.5,23,94,,
79,287,5.09,29,26,108,7.49,4.64
77,311,5.17,31.5,24,109,7.7,4.6
71,176,4.51,39,,124,,4.18
76,321,5.23,32.5,26,99,7.98,4.9
74,253,4.73,,21,,7.53,4.46
76,325,5,,,,,
72,198,4.45,,,,,
76,226,5.2,,,,,
72,236,4.63,36.5,21,115,7.47,4.21
72,219,4.68,34.5,16,111,7.26,
72,228,4.58,37.5,17,114,7.48,4.4
70,193,4.73,39,9,118,7.04,4.4
76,237,4.72,35.5,,119,7.1,4.33
70,183,4.46,42.5,11,130,6.7,4.21
70,188,4.58,36,,120,7.12,
76,299,5.48,28.5,25,103,7.86,4.67
77,230,4.56,41,,130,7.37,4.2
77,304,5.2,,24,,,
70,179,4.48,38,,123,,
71,229,4.63,35.5,,111,,
78,301,5.3,,,,,
76,345,5.51,29.5,23,97,8.78,4.96
73,310,5.18,30,23,103,7.5,4.61
75,285,4.97,28,,103,7.71,4.47
77,307,5.3,,22,,,
76,227,,,,,,
72,219,4.58,36.5,15,120,6.97,4.31
76,299,5.38,29.5,,102,7.9,4.73
72,241,4.59,38,17,126,7.06,4.49
75,240,4.62,38,24,126,7.59,4.21
69,209,4.46,33,19,112,6.9,4.08
78,327,5.5,29,26,104,7.99,4.8
71,213,4.5,39.5,18,127,,
70,211,4.56,33.5,27,112,6.93,4.02
76,262,4.8,,18,,,
74,257,4.81,35,26,121,7,4.12
75,258,4.81,35,18,112,6.95,
74,301,5.41,29,27,94,7.87,4.73
74,313,5.18,26.5,24,93,7.47,4.64
76,260,4.84,31.5,,104,,
75,300,5,29,24,99,7.31,4.24
76,325,5.34,28.5,24,108,8.34,4.73
72,246,4.68,38,35,119,6.85,4.09
68,186,4.44,39,10,118,,
73,245,4.7,32.5,23,116,7.1,4.27
77,303,5.15,31.5,27,104,7.75,4.6
71,218,4.52,,,,,
74,299,5.19,25.5,,103,7.85,4.54
72,243,4.68,39,23,120,6.71,3.83
75,294,4.96,33,30,108,7.43,4.41
70,220,4.62,38,23,116,7.06,4.06
75,306,5.08,,35,,,
75,216,4.61,36,18,130,6.93,4.1
77,256,4.96,32.5,21,107,7.33,4.29
76,242,4.6,35,17,122,6.86,4.05
69,191,4.47,36,,117,6.71,3.78
70,192,4.53,35,,119,7.12,4.47
74,199,4.66,36.5,,127,,
72,194,4.59,37,12,122,6.9,4.24
76,257,4.93,34,25,115,7.09,4.23
70,196,4.47,36.5,15,120,7,4.24
75,260,4.74,,,,,
76,308,4.91,,,,,
73,188,4.57,37,,121,,
70,186,4.31,,,,,
75,234,4.69,36.5,,123,6.99,4.28
69,213,4.81,31,21,105,,
73,249,4.83,30.5,18,102,7.28,4.21
72,194,4.53,41.5,,130,7,4.1
75,243,4.69,,16,,,
70,171,4.48,,,,,
76,307,5.26,25.5,30,88,7.96,4.81
75,223,4.67,35,,108,7.05,4.28
72,190,4.32,39,,126,6.68,3.93
70,191,4.52,33,16,120,7.38,4.36
68,237,4.47,35,30,116,7.18,4.25
70,177,4.5,,,,,
74,218,5,,,,,
75,207,4.52,36.5,,122,7.02,4.09
71,185,4.55,35.5,,121,,
77,301,5.23,29,,103,7.84,4.88
77,284,4.97,,32,,,
77,300,5.53,25.5,32,104,8.62,4.98
75,298,5.03,31.5,31,105,7.52,4.46
80,313,5.27,29.5,30,101,7.65,4.6
72,233,4.95,32,17,111,7.47,4.46
71,201,4.62,31,13,123,,
72,195,4.47,38,,112,6.87,4.02
76,316,5.46,24,,98,8.52,4.73
74,220,4.59,35,,115,7.06,4.11
74,212,4.53,37.5,24,124,6.75,3.88
70,207,4.59,,,,,
73,248,4.57,,,,,
74,245,4.74,,,,,
77,304,5,31,30,109,7.83,4.67
73,194,4.42,39.5,,123,6.77,4.1
73,244,4.77,31.5,20,112,,
73,219,4.57,38,24,124,6.75,4
76,333,5.57,27.5,30,97,8.37,4.97
79,276,4.86,33,36,107,7.18,4.25
76,240,4.75,34,22,116,7.34,4.51
74,210,4.81,32.5,,106,6.9,4.08
78,221,4.89,,,,,
72,254,4.45,,,,,
74,207,5,,,,,
