type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Single Family Residential,Nashville,37212,1062500,4,1,1914,7841,1899,555
Single Family Residential,Nashville,37204,766500,4,3,2313,13939,1948,331
Single Family Residential,Hermitage,37076,444940,3,2,1655,,2022,269
Condo/Co-op,Nashville,37217,210000,3,2,1234,,1979,170
Single Family Residential,Nashville,37203,1903000,3,3.5,1951,,2020,975
Single Family Residential,Nashville,37203,844000,2,2,1315,,2020,642
Single Family Residential,Nashville,37203,814000,2,2,1315,,2020,619
Single Family Residential,Nashville,37203,1052000,2,2.5,1289,,2021,816
Single Family Residential,Nashville,37216,826000,3,3,2326,60983,1949,355
Condo/Co-op,Nashville,37218,1200000,4,4.5,2446,,2022,491
Single Family Residential,Nashville,37215,3350000,5,5,5458,28314,1976,614
Single Family Residential,Nolensville,37135,500000,3,2.5,1768,4356,2022,283
Single Family Residential,Nashville,37209,1499000,4,5,3517,7405,1955,426
Single Family Residential,Nashville,37207,1100000,3,2,1344,816750,1945,818
Single Family Residential,La Vergne,37086,519450,4,4.5,2665,,2022,195
Condo/Co-op,Nashville,37218,421000,3,2.5,1575,871,2022,267
Single Family Residential,Hermitage,37076,455000,5,2.5,2981,13068,1972,153
Single Family Residential,Nashville,37203,1828000,3,3.5,1951,,2020,937
Single Family Residential,Nashville,37221,674248,4,3.5,2480,,2022,272
Single Family Residential,Hermitage,37076,576940,3,3,2382,6534,2023,242
Townhouse,Antioch,37013,299510,3,2.5,1220,,2022,246
Townhouse,Brentwood,37027,439900,2,3.5,1810,1306,2021,243
Single Family Residential,La Vergne,37086,550325,4,4.5,2665,,2022,207
Townhouse,Nashville,37207,369770,3,2.5,1400,5227,2022,264
Townhouse,Nashville,37207,374770,3,2.5,1400,5227,2022,268
Multi-Family (2-4 Unit),Nashville,37207,408000,4,2,1512,8712,1986,270
Single Family Residential,Nashville,37211,250000,2,1,696,11761,1940,359
Townhouse,Antioch,37013,279990,3,2.5,1220,,2022,230
Townhouse,Antioch,37013,517850,4,3.5,2071,1742,2022,250
Single Family Residential,Nashville,37204,875000,4,2,2089,22215,1950,419
Single Family Residential,Nashville,37217,252000,2,1,1125,28750,1951,224
Single Family Residential,Madison,37115,100000,2,1,930,6534,1984,108
Condo/Co-op,Nolensville,37135,314100,2,2,1156,9147,2022,272
Townhouse,Nashville,37207,359900,1,1.5,996,,2022,361
Single Family Residential,Nashville,37215,2700000,5,3.5,4116,54450,1940,656
Townhouse,Nashville,37207,359900,1,1.5,996,,2022,361
Single Family Residential,Nashville,37203,1200000,2,2.5,1412,9147,2022,850
Townhouse,Nolensville,37135,513375,3,3.5,2201,1306,2022,233
Townhouse,Antioch,37013,306470,3,2.5,1220,,2022,251
Vacant Land,Whites Creek,37189,1100000,,,,747054,,
Single Family Residential,Antioch,37013,188000,3,1.5,1550,14374,1963,121
Single Family Residential,Nashville,37203,1844000,2,2.5,1903,,2020,969
Single Family Residential,Nashville,37206,375000,4,2,1910,24393,1955,196
Single Family Residential,Nashville,37204,2490000,4,3,3494,1742,2012,713
Single Family Residential,Nashville,37203,2400000,3,3.5,1951,,2021,1230
Single Family Residential,Nashville,37221,647905,3,3.5,2480,,2022,261
Single Family Residential,Antioch,37013,260000,3,1.5,1288,10018,1986,202
Single Family Residential,Nashville,37216,260000,3,2,1556,23958,1930,167
Single Family Residential,Antioch,37013,469990,4,3,2282,,2022,206
Single Family Residential,Nashville,37203,1055600,2,2.5,1323,,2020,798
Townhouse,Nashville,37209,407095,2,2.5,1209,,2022,337
Single Family Residential,Nashville,37221,886000,4,3.5,3167,7840,1987,280
Single Family Residential,Antioch,37013,466355,3,2.5,1979,,2022,236
Townhouse,Nashville,37207,359900,1,1.5,996,,2022,361
Single Family Residential,Antioch,37013,244000,3,2,1181,9583,1991,207
Single Family Residential,Nashville,37205,8250000,6,5,8204,62290,1969,1006
Single Family Residential,Antioch,37013,468705,3,2.5,1979,,2022,237
Single Family Residential,Nashville,37207,942595,4,3.5,2585,7666,2022,365
Single Family Residential,Whites Creek,37189,665500,3,3,1920,238709,1987,347
Single Family Residential,Nashville,37209,650000,2,1,768,18295,1948,846
Single Family Residential,Nashville,37203,994000,2,2,1315,,2020,756
Condo/Co-op,Hermitage,37076,589828,3,3,2661,,2022,222
Single Family Residential,Nashville,37211,349000,3,1.5,1421,30927,1960,246
Single Family Residential,Nashville,37212,750000,4,4,2090,10019,1920,359
Townhouse,Antioch,37013,295000,3,2.5,1404,871,2020,210
Single Family Residential,Nashville,37205,364000,1,1,935,1742,1973,389
Townhouse,Nashville,37207,359900,1,1.5,996,,2022,361
Condo/Co-op,Antioch,37013,309990,3,3,1485,,2022,209
Other,Nashville,37217,135000,2,1.5,1024,7841,1984,132
Townhouse,Nashville,37209,420000,2,2.5,1209,,2022,347
Single Family Residential,Nashville,37215,2050000,3,3.5,3390,,2022,605
Single Family Residential,Antioch,37013,433730,4,3,1973,,2022,220
Single Family Residential,Nashville,37205,4407000,4,5,7000,50965,1966,630
Townhouse,Nashville,37207,359900,1,1.5,996,,2022,361
Condo/Co-op,Nashville,37218,369000,2,2.5,1250,871,2022,295
Condo/Co-op,Nashville,37209,375000,1,1,874,,2022,429
Single Family Residential,Nashville,37220,562000,3,2,1364,18295,1960,412
Single Family Residential,Hermitage,37076,595440,3,3,2805,,2021,212
Condo/Co-op,Nolensville,37135,319900,2,2,1085,,2022,295
Single Family Residential,Antioch,37013,467990,5,3,2511,,2022,186
Vacant Land,Nashville,37208,215000,,,,6969,,
Single Family Residential,Nashville,37221,555000,4,2.5,2422,10454,1993,229
Multi-Family (2-4 Unit),Hermitage,37076,293000,4,2,1518,7841,1983,193
Single Family Residential,Nashville,37205,1100000,3,2.5,2654,54014,1958,414
Single Family Residential,Nashville,37214,210000,2,1.5,1020,8276,1985,206
Single Family Residential,Nashville,37211,425000,3,1.5,1275,27878,1958,333
Single Family Residential,Nashville,37211,345000,3,1,950,14375,1956,363
Single Family Residential,Nashville,37211,613020,3,2,1560,12196,1961,393
Single Family Residential,Nashville,37220,680000,3,2.5,1931,14374,1960,352
Townhouse,Nashville,37207,359900,1,1.5,996,,2022,361
Single Family Residential,Nashville,37214,541000,3,2,1908,28750,1955,284
Single Family Residential,Nashville,37221,381000,2,2,1349,2178,1987,282
Single Family Residential,Nashville,37211,730000,3,1.5,2056,33977,1960,355
Single Family Residential,Nashville,37205,1250000,3,3,3008,42688,1951,416
Townhouse,Nashville,37209,354000,3,2.5,1302,871,2006,272
Multi-Family (2-4 Unit),Madison,37115,300000,4,2,1871,54885,1955,160
Single Family Residential,Antioch,37013,405000,3,2.5,1837,6534,2002,220
Single Family Residential,Antioch,37013,425000,4,2.5,1903,5662,2021,223
