type,city,zip,price,beds,baths,sqft,lot,year,price_per_sqft
Multi-Family (2-4 Unit),Washington,20002,630000,,,1184,1200,1952,532
Condo/Co-op,Washington,20002,289000,2,2,650,,1942,445
Condo/Co-op,Washington,20037,270000,1,1,824,,1956,328
Condo/Co-op,Washington,20009,320500,1,1,472,,1942,679
Condo/Co-op,Washington,20010,434000,1,1,585,,1918,742
Parking,Washington,20010,348000,,,,,,
Multi-Family (5+ Unit),Washington,20020,1950000,,,10956,9264,1953,178
Multi-Family (5+ Unit),Washington,20008,3650000,12,13.5,7098,2870,1922,514
Condo/Co-op,Washington,20024,2095000,2,2.5,1585,,2022,1322
Single Family Residential,Washington,20016,2565000,4,3.5,2300,4740,1925,1115
Townhouse,Washington,20009,1775000,3,1,1194,1517,1870,1487
Single Family Residential,Washington,20016,1800000,4,4,1792,15949,1951,1004
Condo/Co-op,Washington,20011,185000,1,1,381,,1942,486
Multi-Family (2-4 Unit),Washington,20019,1400000,,,,3500,1955,
Townhouse,Washington,20032,222000,3,1,1152,2160,1951,193
Single Family Residential,Washington,20017,533000,5,2.5,2586,23490,1934,206
Condo/Co-op,Washington,20020,100000,2,1,752,,1936,133
Condo/Co-op,Washington,20007,543250,1,2,595,,1940,913
Townhouse,Washington,20020,140300,0,1,1373,,2022,102
Condo/Co-op,Washington,20020,165000,1,1,624,,1940,264
Condo/Co-op,Washington,20009,370000,1,1,673,,1920,550
Townhouse,Washington,20003,400000,2,1,1583,2358,1880,253
Townhouse,Washington,20001,662830,2,1,966,555,1890,686
Townhouse,Washington,20002,550000,3,1,1542,3634,1900,357
Condo/Co-op,Washington,20007,1225000,2,2,1581,429,1980,775
Townhouse,Washington,20011,1315000,0,,1720,2708,1915,765
Condo/Co-op,Washington,20007,940000,3,2,1098,,2022,856
Townhouse,Washington,20011,710000,3,1,1951,2850,1913,364
Condo/Co-op,Washington,20008,775000,2,2,1300,,1905,596
Townhouse,Washington,20007,1350000,3,1.5,1312,1800,1900,1029
Townhouse,Washington,20020,265000,3,2,1373,,2022,193
Townhouse,Washington,20010,620000,3,1.5,1488,2009,1920,417
Condo/Co-op,Washington,20024,2781300,3,3.5,1835,,2022,1516
Condo/Co-op,Washington,20008,485000,2,2,1385,,1967,350
Townhouse,Washington,20001,750000,5,2,2392,1773,1906,314
Single Family Residential,Washington,20019,189000,2,1,800,2143,1947,236
Condo/Co-op,Washington,20009,735000,2,2,1083,,2002,679
Condo/Co-op,Washington,20004,1250000,3,2,1499,,1991,834
Single Family Residential,Washington,20015,1450000,0,0.5,2214,4365,1941,655
Condo/Co-op,Washington,20002,350000,3,2.5,1594,,1909,220
Multi-Family (5+ Unit),Washington,20002,2000000,,,5766,4993,1966,347
Condo/Co-op,Washington,20007,540000,1,1.5,533,,1820,1013
Single Family Residential,Washington,20016,2050000,4,3.5,1726,3745,1927,1188
Parking,Washington,20009,22000,,,,,,
Single Family Residential,Washington,20016,1225000,3,3,1886,2285,1924,650
Multi-Family (5+ Unit),Washington,20032,1750000,,,10647,8692,1953,164
Vacant Land,Washington,20032,158370,,,,5459,,
Condo/Co-op,Washington,20024,170000,,1,466,,1965,365
Single Family Residential,Washington,20007,800000,3,2,1920,2355,1928,417
Multi-Family (2-4 Unit),Washington,20019,460000,3,3,1440,3500,1950,319
Condo/Co-op,Washington,20009,527000,2,2,806,,1915,654
Parking,Washington,20009,50000,,,,,,
Townhouse,Washington,20007,2695000,4,3.5,2777,2064,1905,970
Single Family Residential,Washington,20016,2050000,5,4.5,3634,7540,1997,564
Single Family Residential,Washington,20016,4300000,6,5.5,8410,10751,2012,511
Single Family Residential,Washington,20016,1750000,5,4.5,3204,9750,1934,546
Condo/Co-op,Washington,20012,495000,1,1,659,,2020,751
Single Family Residential,Washington,20012,1350000,5,3,2880,9451,1952,469
Townhouse,Washington,20020,175000,3,1,1144,1171,1951,153
Multi-Family (2-4 Unit),Washington,20019,831000,4,4,3400,4284,1942,244
Townhouse,Washington,20020,350000,3,2,1373,,2022,255
Condo/Co-op,Washington,20016,759000,2,2.5,1756,,1966,432
Single Family Residential,Washington,20019,221000,2,1,800,2232,1945,276
Townhouse,Washington,20020,265000,3,2.5,1112,,2022,238
Vacant Land,Washington,20018,350000,,,,4496,,
Single Family Residential,Washington,20016,2750000,5,4.5,3900,9685,1951,705
Condo/Co-op,Washington,20009,750000,2,2,1353,,1912,554
Single Family Residential,Washington,20015,900000,3,1.5,2175,5000,1930,414
Condo/Co-op,Alexandria,22314,560000,2,2,1168,,1970,479
Condo/Co-op,Washington,20007,460000,2,1,795,1000,2022,579
Single Family Residential,Washington,20016,1150000,4,2,1855,6250,1950,620
Condo/Co-op,Washington,20009,626500,1,1,758,,1978,827
Townhouse,Washington,20020,448900,4,3.5,2384,1781,2022,188
Condo/Co-op,Washington,20009,250000,1,1,401,,1962,623
Multi-Family (5+ Unit),Washington,20002,1200000,,,4047,2343,1940,297
Condo/Co-op,Washington,20005,655000,1,2,666,,2008,983
Townhouse,Washington,20020,350000,3,2,1373,,2022,255
Single Family Residential,Washington,20007,7400000,4,6,3630,2640,1900,2039
Single Family Residential,Washington,20017,433000,3,2,1400,4938,1948,309
Multi-Family (2-4 Unit),Washington,20019,590000,8,4,2442,4000,1953,242
Townhouse,Washington,20024,650000,2,2,1120,1212,1941,580
Condo/Co-op,Washington,20016,285000,1,1,630,,1937,452
Condo/Co-op,Washington,20016,580000,2,1,1350,,1931,430
Single Family Residential,Washington,20032,420000,2,1,928,1956,1951,453
Condo/Co-op,Washington,20024,3975900,3,3.5,2485,,2022,1600
Condo/Co-op,Washington,20009,700000,1,2,1194,,2005,586
